Date,AU-AORD
1990-09-30,1327.199951
1990-10-31,1319.699951
1990-11-30,1279.800049
1990-12-31,1321.5
1991-01-31,1405.599976
1991-02-28,1444.099976
1991-03-31,1534.199951
1991-04-30,1510
1991-05-31,1506.199951
1991-06-30,1572.400024
1991-07-31,1540.400024
1991-08-31,1562.099976
1991-09-30,1683
1991-10-31,1605.699951
1991-11-30,1651.400024
1991-12-31,1619.5
1992-01-31,1614.199951
1992-02-29,1582.599976
1992-03-31,1655.900024
1992-04-30,1678.300049
1992-05-31,1643.800049
1992-06-30,1617.699951
1992-07-31,1547.199951
1992-08-31,1485
1992-09-30,1425.800049
1992-10-31,1448.099976
1992-11-30,1549.900024
1992-12-31,1528.199951
1993-01-31,1609.5
1993-02-28,1667.400024
1993-03-31,1681.5
1993-04-30,1737.400024
1993-05-31,1738.099976
1993-06-30,1844
1993-07-31,1962.199951
1993-08-31,1963.900024
1993-09-30,2112.199951
1993-10-31,2009.400024
1993-11-30,2173.600098
1993-12-31,2310.800049
1994-01-31,2180.100098
1994-02-28,2053.100098
1994-03-31,2066.100098
1994-04-30,2080
1994-05-31,1989.099976
1994-06-30,2061.5
1994-07-31,2122.100098
1994-08-31,2028.699951
1994-09-30,2044.800049
1994-10-31,1890.699951
1994-11-30,1932.800049
1994-12-31,1830.599976
1995-01-31,1920
1995-02-28,1905.599976
1995-03-31,2050.199951
1995-04-30,2019.5
1995-05-31,2017
1995-06-30,2116.100098
1995-07-31,2133
1995-08-31,2136
1995-09-30,2073.699951
1995-10-31,2158.800049
1995-11-30,2203
1995-12-31,2288.5
1996-01-31,2290
1996-02-29,2225.600098
1996-03-31,2316.800049
1996-04-30,2266.100098
1996-05-31,2242.100098
1996-06-30,2180.300049
1996-07-31,2268.699951
1996-08-31,2290.399902
1996-09-30,2350.199951
1996-10-31,2388.600098
1996-11-30,2424.600098
1996-12-31,2423.699951
1997-01-31,2449.899902
1997-02-28,2422.300049
1997-03-31,2488
1997-04-30,2610.5
1997-05-31,2725.899902
1997-06-30,2735.100098
1997-07-31,2593
1997-08-31,2766.899902
1997-09-30,2464.800049
1997-10-31,2465.100098
1997-11-30,2616.5
1997-12-31,2656.699951
1998-01-31,2697.399902
1998-02-28,2744.199951
1998-03-31,2762.100098
1998-04-30,2715.699951
1998-05-31,2668.399902
1998-06-30,2704.600098
1998-07-31,2480.699951
1998-08-31,2587
1998-09-30,2647.300049
1998-10-31,2773.300049
1998-11-30,2813.399902
1998-12-31,2893.800049
1999-01-31,2879.899902
1999-02-28,2967.199951
1999-03-31,3101.100098
1999-04-30,2900.199951
1999-05-31,2968.899902
1999-06-30,3019.899902
1999-07-31,2951.899902
1999-08-31,2881.100098
1999-09-30,2885.100098
1999-10-31,3044
1999-11-30,3152.5
1999-12-31,3096
2000-01-31,3135.699951
2000-02-29,3133.300049
2000-03-31,3085.100098
2000-04-30,3040.600098
2000-05-31,3257.600098
2000-06-30,3213.600098
2000-07-31,3261.699951
2000-08-31,3246.100098
2000-09-30,3203.899902
2000-10-31,3222
2000-11-30,3154.699951
2000-12-31,3291.5
2001-01-31,3274.100098
2001-02-28,3096.899902
2001-03-31,3270.300049
2001-04-30,3317.199951
2001-05-31,3425.199951
2001-06-30,3270.800049
