date,GDP
09/1990,103363
12/1990,104632
03/1991,103202
06/1991,103262
09/1991,104074
12/1991,105063
03/1992,106600
06/1992,106991
09/1992,108009
12/1992,110178
03/1993,112063
06/1993,113188
09/1993,113063
12/1993,115458
03/1994,117747
06/1994,119305
09/1994,122772
12/1994,122042
03/1995,124268
06/1995,125930
09/1995,128617
12/1995,131148
03/1996,132815
06/1996,134904
09/1996,135634
12/1996,137616
03/1997,138868
06/1997,142409
09/1997,143402
12/1997,147232
03/1998,148287
06/1998,149450
09/1998,152068
12/1998,154922
03/1999,156321
06/1999,157276
09/1999,160281
12/1999,163098
03/2000,168027
06/2000,170020
09/2000,174176
12/2000,173183
03/2001,178099
06/2001,179850
09/2001,183603
12/2001,186234
03/2002,190378
06/2002,193789
09/2002,196476
12/2002,199723
03/2003,201881
06/2003,203747
09/2003,208447
12/2003,213667
03/2004,217843
06/2004,221112
09/2004,224396
12/2004,228251
03/2005,232425
06/2005,237212
09/2005,243244
12/2005,248124
03/2006,250977
06/2006,254644
09/2006,262433
12/2006,269034
03/2007,275615
06/2007,280066
09/2007,284614
12/2007,290083
03/2008,297005
06/2008,305441
09/2008,315577
12/2008,316106
03/2009,316258
06/2009,312432
09/2009,313624
12/2009,320069
03/2010,327093
06/2010,339491
09/2010,344392
12/2010,350475
03/2011,356045
06/2011,365765
09/2011,372381
12/2011,372255
03/2012,373929
06/2012,379644
09/2012,380189
12/2012,381317
03/2013,385485
06/2013,389588
09/2013,393546
12/2013,399313
03/2014,403694
06/2014,402909
09/2014,402694
12/2014,405188
03/2015,408735
06/2015,407533
09/2015,411983
12/2015,412465
03/2016,415747
06/2016,420646
09/2016,425794
12/2016,440040
03/2017,448972
06/2017,447706
09/2017,453139
12/2017,456707
03/2018,466730
06/2018,471847
09/2018,477648
12/2018,483556
03/2019,491916
06/2019,499113
09/2019,505443
12/2019,504517
03/2020,506076
06/2020,468281
09/2020,486897
12/2020,507579
