date,ToT
09/1990,64.4
12/1990,61.3
03/1991,60.5
06/1991,59.9
09/1991,60.2
12/1991,59.6
03/1992,59.7
06/1992,59.2
09/1992,58.2
12/1992,57.3
03/1993,57.5
06/1993,55.8
09/1993,55.4
12/1993,55.2
03/1994,55.9
06/1994,55.7
09/1994,56.1
12/1994,58.1
03/1995,58.4
06/1995,57.6
09/1995,57.9
12/1995,58.6
03/1996,59.4
06/1996,60.6
09/1996,60.8
12/1996,60.9
03/1997,61
06/1997,61.5
09/1997,61.5
12/1997,61.1
03/1998,60.1
06/1998,59.9
09/1998,58
12/1998,57.3
03/1999,57.9
06/1999,57.6
09/1999,58.4
12/1999,59.5
03/2000,61.5
06/2000,60.4
09/2000,61.3
12/2000,60.9
03/2001,60.9
06/2001,60.6
09/2001,61.4
12/2001,61.3
03/2002,62.6
06/2002,61.9
09/2002,62.1
12/2002,62.6
03/2003,63.2
06/2003,63.4
09/2003,64.7
12/2003,66.1
03/2004,68.5
06/2004,70.4
09/2004,71.1
12/2004,71.9
03/2005,73.9
06/2005,78.7
09/2005,79.8
12/2005,81.2
03/2006,82.3
06/2006,83.6
09/2006,85.1
12/2006,87.1
03/2007,88.7
06/2007,89.1
09/2007,88.7
12/2007,89.8
03/2008,91.1
06/2008,100.1
09/2008,106.7
12/2008,103.8
03/2009,97
06/2009,89.1
09/2009,87.7
12/2009,90.9
03/2010,95.3
06/2010,108
09/2010,109.8
12/2010,111.5
03/2011,117.6
06/2011,121.6
09/2011,123.2
12/2011,116.4
03/2012,111.8
06/2012,110.7
09/2012,105.6
12/2012,103
03/2013,105.3
06/2013,104.9
09/2013,102.3
12/2013,102.5
03/2014,101.9
06/2014,97
09/2014,93.5
12/2014,91.6
03/2015,89.8
06/2015,86.1
09/2015,83.8
12/2015,80.5
03/2016,79.5
06/2016,81.5
09/2016,84.7
12/2016,94.1
03/2017,99.3
06/2017,93.5
09/2017,93.3
12/2017,93.3
03/2018,96.4
06/2018,95.1
09/2018,96.1
12/2018,98.5
03/2019,101.7
06/2019,103.1
09/2019,104
12/2019,99.4
03/2020,99.7
06/2020,100.5
09/2020,101.8
12/2020,106.7
